CleDate,Date,Annee,Trimestre,MoisNumero,MoisNom,AnneeMois
20200101,01/01/2020,2020,1,1,January,2020-01
20200102,02/01/2020,2020,1,1,January,2020-01
20200103,03/01/2020,2020,1,1,January,2020-01
20200104,04/01/2020,2020,1,1,January,2020-01
20200105,05/01/2020,2020,1,1,January,2020-01
20200106,06/01/2020,2020,1,1,January,2020-01
20200107,07/01/2020,2020,1,1,January,2020-01
20200108,08/01/2020,2020,1,1,January,2020-01
20200109,09/01/2020,2020,1,1,January,2020-01
20200110,10/01/2020,2020,1,1,January,2020-01
20200111,11/01/2020,2020,1,1,January,2020-01
20200112,12/01/2020,2020,1,1,January,2020-01
20200113,13/01/2020,2020,1,1,January,2020-01
20200114,14/01/2020,2020,1,1,January,2020-01
20200115,15/01/2020,2020,1,1,January,2020-01
20200116,16/01/2020,2020,1,1,January,2020-01
20200117,17/01/2020,2020,1,1,January,2020-01
20200118,18/01/2020,2020,1,1,January,2020-01
20200119,19/01/2020,2020,1,1,January,2020-01
20200120,20/01/2020,2020,1,1,January,2020-01
20200121,21/01/2020,2020,1,1,January,2020-01
20200122,22/01/2020,2020,1,1,January,2020-01
20200123,23/01/2020,2020,1,1,January,2020-01
20200124,24/01/2020,2020,1,1,January,2020-01
20200125,25/01/2020,2020,1,1,January,2020-01
20200126,26/01/2020,2020,1,1,January,2020-01
20200127,27/01/2020,2020,1,1,January,2020-01
20200128,28/01/2020,2020,1,1,January,2020-01
20200129,29/01/2020,2020,1,1,January,2020-01
20200130,30/01/2020,2020,1,1,January,2020-01
20200131,31/01/2020,2020,1,1,January,2020-01
20200201,01/02/2020,2020,1,2,February,2020-02
20200202,02/02/2020,2020,1,2,February,2020-02
20200203,03/02/2020,2020,1,2,February,2020-02
20200204,04/02/2020,2020,1,2,February,2020-02
20200205,05/02/2020,2020,1,2,February,2020-02
20200206,06/02/2020,2020,1,2,February,2020-02
20200207,07/02/2020,2020,1,2,February,2020-02
20200208,08/02/2020,2020,1,2,February,2020-02
20200209,09/02/2020,2020,1,2,February,2020-02
20200210,10/02/2020,2020,1,2,February,2020-02
20200211,11/02/2020,2020,1,2,February,2020-02
20200212,12/02/2020,2020,1,2,February,2020-02
20200213,13/02/2020,2020,1,2,February,2020-02
20200214,14/02/2020,2020,1,2,February,2020-02
20200215,15/02/2020,2020,1,2,February,2020-02
20200216,16/02/2020,2020,1,2,February,2020-02
20200217,17/02/2020,2020,1,2,February,2020-02
20200218,18/02/2020,2020,1,2,February,2020-02
20200219,19/02/2020,2020,1,2,February,2020-02
20200220,20/02/2020,2020,1,2,February,2020-02
20200221,21/02/2020,2020,1,2,February,2020-02
20200222,22/02/2020,2020,1,2,February,2020-02
20200223,23/02/2020,2020,1,2,February,2020-02
20200224,24/02/2020,2020,1,2,February,2020-02
20200225,25/02/2020,2020,1,2,February,2020-02
20200226,26/02/2020,2020,1,2,February,2020-02
20200227,27/02/2020,2020,1,2,February,2020-02
20200228,28/02/2020,2020,1,2,February,2020-02
20200229,29/02/2020,2020,1,2,February,2020-02
20200301,01/03/2020,2020,1,3,March,2020-03
20200302,02/03/2020,2020,1,3,March,2020-03
20200303,03/03/2020,2020,1,3,March,2020-03
20200304,04/03/2020,2020,1,3,March,2020-03
20200305,05/03/2020,2020,1,3,March,2020-03
20200306,06/03/2020,2020,1,3,March,2020-03
20200307,07/03/2020,2020,1,3,March,2020-03
20200308,08/03/2020,2020,1,3,March,2020-03
20200309,09/03/2020,2020,1,3,March,2020-03
20200310,10/03/2020,2020,1,3,March,2020-03
20200311,11/03/2020,2020,1,3,March,2020-03
20200312,12/03/2020,2020,1,3,March,2020-03
20200313,13/03/2020,2020,1,3,March,2020-03
20200314,14/03/2020,2020,1,3,March,2020-03
20200315,15/03/2020,2020,1,3,March,2020-03
20200316,16/03/2020,2020,1,3,March,2020-03
20200317,17/03/2020,2020,1,3,March,2020-03
20200318,18/03/2020,2020,1,3,March,2020-03
20200319,19/03/2020,2020,1,3,March,2020-03
20200320,20/03/2020,2020,1,3,March,2020-03
20200321,21/03/2020,2020,1,3,March,2020-03
20200322,22/03/2020,2020,1,3,March,2020-03
20200323,23/03/2020,2020,1,3,March,2020-03
20200324,24/03/2020,2020,1,3,March,2020-03
20200325,25/03/2020,2020,1,3,March,2020-03
20200326,26/03/2020,2020,1,3,March,2020-03
20200327,27/03/2020,2020,1,3,March,2020-03
20200328,28/03/2020,2020,1,3,March,2020-03
20200329,29/03/2020,2020,1,3,March,2020-03
20200330,30/03/2020,2020,1,3,March,2020-03
20200331,31/03/2020,2020,1,3,March,2020-03
20200401,01/04/2020,2020,2,4,April,2020-04
20200402,02/04/2020,2020,2,4,April,2020-04
20200403,03/04/2020,2020,2,4,April,2020-04
20200404,04/04/2020,2020,2,4,April,2020-04
20200405,05/04/2020,2020,2,4,April,2020-04
20200406,06/04/2020,2020,2,4,April,2020-04
20200407,07/04/2020,2020,2,4,April,2020-04
20200408,08/04/2020,2020,2,4,April,2020-04
20200409,09/04/2020,2020,2,4,April,2020-04
20200410,10/04/2020,2020,2,4,April,2020-04
20200411,11/04/2020,2020,2,4,April,2020-04
20200412,12/04/2020,2020,2,4,April,2020-04
20200413,13/04/2020,2020,2,4,April,2020-04
