ID_Produit,NomProduit,Categorie,Generique,Format,PrixListeEUR,CoutStandardEUR,DateLancement,EstArrete,DateArret
PR0001,Produit Générique 1,Equipement Médical,Non,32 unités,28.39,26.74,2/9/2020,Oui,22/06/2023
PR0002,Produit Générique 2,OTC,Non,21 unités,20.39,17.91,19/04/2022,Oui,13/08/2023
PR0003,Produit Générique 3,OTC,Oui,37 unités,31.67,27.04,16/02/2022,Non,10/10/2023
PR0004,Produit Générique 4,Soins Personnels,Oui,37 unités,39.41,5.39,4/6/2020,Oui,6/12/2023
PR0005,Produit Générique 5,Soins Personnels,Oui,20 unités,42.2,15.45,7/9/2022,Non,6/9/2023
PR0006,Produit Générique 6,OTC,Oui,16 unités,26.81,5.44,26/02/2023,Oui,19/06/2023
PR0007,Produit Générique 7,OTC,Non,18 unités,29.6,3.93,16/10/2020,Oui,21/08/2023
PR0008,Produit Générique 8,Equipement Médical,Non,38 unités,36.64,17.36,7/10/2022,Oui,9/10/2023
PR0009,Produit Générique 9,Prescription,Oui,12 unités,40.19,22.38,6/4/2021,Non,24/09/2023
PR0010,Produit Générique 10,Bien-être,Oui,10 unités,45.39,9.51,21/12/2022,Oui,23/12/2023
PR0011,Produit Générique 11,Bien-être,Non,14 unités,46.71,21.66,17/05/2020,Oui,11/8/2023
PR0012,Produit Générique 12,Soins Personnels,Non,41 unités,48.49,27.67,11/9/2022,Non,5/9/2023
PR0013,Produit Générique 13,Prescription,Oui,31 unités,14.14,4.99,17/07/2020,Non,23/11/2023
PR0014,Produit Générique 14,Bien-être,Non,33 unités,43.57,13,12/1/2022,Non,2/12/2023
PR0015,Produit Générique 15,OTC,Non,11 unités,8.83,8.72,3/5/2021,Oui,16/09/2023
PR0016,Produit Générique 16,Prescription,Oui,13 unités,23.55,13.14,15/04/2020,Oui,5/12/2023
PR0017,Produit Générique 17,Prescription,Non,48 unités,38.03,24.03,4/8/2021,Non,14/07/2023
PR0018,Produit Générique 18,Bien-être,Non,40 unités,39.13,12.27,7/11/2021,Non,8/10/2023
PR0019,Produit Générique 19,Bien-être,Non,47 unités,22.96,24.63,20/10/2020,Oui,24/12/2023
PR0020,Produit Générique 20,OTC,Oui,17 unités,30.46,7.82,8/12/2020,Oui,4/7/2023
PR0021,Produit Générique 21,Soins Personnels,Oui,29 unités,19.85,9.8,5/1/2022,Oui,13/08/2023
