ID_Vente,CleDate,ID_Pharmacie,ID_Produit,UnitesVendues,RevenuEUR,CoutEUR,MargeEUR,Promo
V0000001,20220702,PH0032,PR0059,16,574.72,104.0,470.72,Non
V0000002,20220111,PH0045,PR0036,4,131.92,67.92,64.0,Non
V0000003,20231126,PH0080,PR0064,13,142.48,133.9,8.58,Oui
V0000004,20210809,PH0022,PR0025,17,493.68,184.96,308.72,Oui
V0000005,20221013,PH0034,PR0035,7,313.81,196.84,116.97,Oui
V0000006,20200119,PH0068,PR0148,7,87.29,120.61,-33.32,Non
V0000007,20210207,PH0017,PR0022,18,867.96,198.0,669.96,Non
V0000008,20210602,PH0031,PR0049,11,57.86,280.94,-223.08,Oui
V0000009,20210514,PH0016,PR0100,14,93.24,236.46,-143.22,Oui
V0000010,20211008,PH0021,PR0078,2,17.32,15.42,1.9,Oui
V0000011,20230706,PH0054,PR0063,7,255.01,43.61,211.4,Oui
V0000012,20210407,PH0052,PR0032,1,11.73,16.35,-4.62,Oui
V0000013,20210525,PH0047,PR0003,19,601.73,513.76,87.97,Oui
V0000014,20201221,PH0052,PR0042,13,193.31,162.76,30.55,Non
V0000015,20200623,PH0065,PR0110,2,25.82,18.42,7.4,Non
V0000016,20220630,PH0044,PR0146,7,348.32,97.02,251.3,Non
V0000017,20230917,PH0033,PR0055,13,90.22,242.84,-152.62,Non
V0000018,20231116,PH0044,PR0149,13,249.6,241.54,8.06,Oui
V0000019,20230605,PH0007,PR0079,14,489.86,355.6,134.26,Non
V0000020,20210429,PH0049,PR0078,7,60.62,53.97,6.65,Non
V0000021,20200123,PH0008,PR0123,12,289.68,324.6,-34.92,Oui
V0000022,20231122,PH0019,PR0094,17,224.06,418.54,-194.48,Non
V0000023,20211214,PH0075,PR0103,2,43.8,49.12,-5.32,Non
V0000024,20220108,PH0047,PR0017,15,570.45,360.45,210.0,Oui
V0000025,20210628,PH0040,PR0047,20,264.0,201.2,62.8,Oui
V0000026,20220217,PH0057,PR0101,12,152.28,277.92,-125.64,Oui
V0000027,20231216,PH0006,PR0146,12,597.12,166.32,430.8,Non
V0000028,20220924,PH0011,PR0068,10,173.5,197.1,-23.6,Non
V0000029,20220220,PH0034,PR0059,13,466.96,84.5,382.46,Oui
V0000030,20231124,PH0009,PR0087,18,375.66,498.6,-122.94,Oui
V0000031,20200910,PH0049,PR0074,17,697.34,166.43,530.91,Oui
V0000032,20200107,PH0074,PR0075,14,384.72,157.5,227.22,Non
V0000033,20211208,PH0079,PR0100,9,59.94,152.01,-92.07,Oui
V0000034,20221116,PH0041,PR0122,17,500.48,384.88,115.6,Oui
V0000035,20201012,PH0051,PR0056,8,58.96,109.36,-50.4,Non
V0000036,20230510,PH0053,PR0068,14,242.9,275.94,-33.04,Oui
V0000037,20200822,PH0005,PR0131,12,498.36,233.16,265.2,Non
V0000038,20220908,PH0024,PR0131,8,332.24,155.44,176.8,Non
V0000039,20220811,PH0004,PR0137,20,128.2,330.4,-202.2,Oui
V0000040,20210304,PH0057,PR0069,8,363.44,80.56,282.88,Oui
V0000041,20221101,PH0010,PR0065,3,43.5,75.39,-31.89,Oui
V0000042,20201015,PH0079,PR0101,3,38.07,69.48,-31.41,Oui
V0000043,20210528,PH0020,PR0091,16,188.48,204.48,-16.0,Oui
V0000044,20221017,PH0047,PR0071,3,101.4,14.49,86.91,Oui
V0000045,20210423,PH0038,PR0051,16,473.12,399.52,73.6,Non
V0000046,20210404,PH0037,PR0010,12,544.68,114.12,430.56,Oui
V0000047,20220331,PH0006,PR0070,6,130.86,149.52,-18.66,Non
V0000048,20231028,PH0021,PR0132,12,60.6,253.32,-192.72,Oui
V0000049,20230622,PH0037,PR0052,4,187.08,58.88,128.2,Oui
V0000050,20201017,PH0053,PR0121,19,461.13,222.3,238.83,Oui
V0000051,20231123,PH0054,PR0045,5,234.6,78.8,155.8,Non
V0000052,20200403,PH0029,PR0092,1,34.0,20.11,13.89,Oui
V0000053,20210916,PH0068,PR0089,8,44.96,149.2,-104.24,Oui
V0000054,20201217,PH0060,PR0068,2,34.7,39.42,-4.72,Oui
V0000055,20220206,PH0080,PR0145,1,11.1,15.61,-4.51,Non
V0000056,20220207,PH0001,PR0144,12,559.68,73.8,485.88,Non
V0000057,20200416,PH0078,PR0107,14,164.5,339.5,-175.0,Oui
V0000058,20231106,PH0079,PR0074,14,574.28,137.06,437.22,Non
V0000059,20220317,PH0035,PR0042,19,282.53,237.88,44.65,Non
V0000060,20200408,PH0071,PR0092,8,272.0,160.88,111.12,Oui
V0000061,20230712,PH0012,PR0013,18,254.52,89.82,164.7,Non
V0000062,20220729,PH0071,PR0084,17,183.6,352.75,-169.15,Non
V0000063,20220619,PH0027,PR0002,20,407.8,358.2,49.6,Non
V0000064,20210711,PH0080,PR0041,5,238.6,78.8,159.8,Oui
V0000065,20200926,PH0010,PR0110,6,77.46,55.26,22.2,Non
V0000066,20200428,PH0034,PR0136,17,134.3,502.35,-368.05,Oui
V0000067,20220121,PH0022,PR0012,3,145.47,83.01,62.46,Non
V0000068,20211026,PH0004,PR0065,17,246.5,427.21,-180.71,Oui
V0000069,20230505,PH0022,PR0045,8,375.36,126.08,249.28,Non
V0000070,20230508,PH0039,PR0059,3,107.76,19.5,88.26,Non
V0000071,20201101,PH0069,PR0042,8,118.96,100.16,18.8,Non
V0000072,20200306,PH0038,PR0109,16,141.12,195.68,-54.56,Non
V0000073,20210321,PH0056,PR0043,15,300.3,373.05,-72.75,Oui
V0000074,20210116,PH0051,PR0119,15,419.85,99.45,320.4,Non
V0000075,20221210,PH0042,PR0097,18,585.36,516.42,68.94,Oui
V0000076,20200420,PH0059,PR0040,10,343.2,132.6,210.6,Non
V0000077,20220502,PH0053,PR0129,10,364.1,164.4,199.7,Oui
V0000078,20220408,PH0054,PR0079,14,489.86,355.6,134.26,Oui
V0000079,20220816,PH0066,PR0120,10,163.1,35.3,127.8,Non
V0000080,20210902,PH0059,PR0028,15,207.45,254.85,-47.4,Oui
V0000081,20200328,PH0017,PR0080,18,889.2,168.66,720.54,Oui
V0000082,20221028,PH0058,PR0128,13,611.91,261.95,349.96,Non
V0000083,20220804,PH0062,PR0044,6,180.72,40.2,140.52,Non
V0000084,20210928,PH0066,PR0067,5,189.3,34.4,154.9,Oui
V0000085,20231029,PH0073,PR0084,4,43.2,83.0,-39.8,Oui
V0000086,20231229,PH0053,PR0059,17,610.64,110.5,500.14,Non
V0000087,20200729,PH0008,PR0060,15,98.7,392.7,-294.0,Oui
V0000088,20230128,PH0074,PR0058,4,175.76,36.0,139.76,Non
V0000089,20231031,PH0067,PR0046,11,181.83,309.32,-127.49,Oui
V0000090,20230408,PH0078,PR0095,13,229.84,363.87,-134.03,Oui
V0000091,20230412,PH0007,PR0147,5,35.05,134.65,-99.6,Non
V0000092,20220909,PH0016,PR0080,15,741.0,140.55,600.45,Non
V0000093,20211026,PH0043,PR0058,15,659.1,135.0,524.1,Non
V0000094,20210710,PH0062,PR0064,3,32.88,30.9,1.98,Non
V0000095,20200708,PH0031,PR0142,12,359.4,225.24,134.16,Non
V0000096,20201121,PH0050,PR0073,18,639.18,198.0,441.18,Oui
V0000097,20231213,PH0072,PR0036,15,494.7,254.7,240.0,Oui
V0000098,20221109,PH0035,PR0017,11,418.33,264.33,154.0,Oui
V0000099,20210214,PH0064,PR0047,15,198.0,150.9,47.1,Non
V0000100,20230504,PH0065,PR0045,4,187.68,63.04,124.64,Non
V0000101,20230927,PH0056,PR0069,11,499.73,110.77,388.96,Oui
V0000102,20200728,PH0053,PR0102,10,267.0,299.3,-32.3,Oui
V0000103,20230127,PH0005,PR0120,1,16.31,3.53,12.78,Oui
V0000104,20210216,PH0042,PR0009,19,763.61,425.22,338.39,Non
V0000105,20220627,PH0030,PR0016,2,47.1,26.28,20.82,Non
V0000106,20220715,PH0070,PR0129,1,36.41,16.44,19.97,Non
V0000107,20210416,PH0026,PR0024,8,129.2,51.68,77.52,Oui
V0000108,20211202,PH0056,PR0052,6,280.62,88.32,192.3,Oui
V0000109,20230301,PH0034,PR0122,13,382.72,294.32,88.4,Non
V0000110,20201129,PH0058,PR0055,10,69.4,186.8,-117.4,Non
V0000111,20210710,PH0021,PR0122,13,382.72,294.32,88.4,Oui
V0000112,20220723,PH0078,PR0045,20,938.4,315.2,623.2,Non
V0000113,20201123,PH0017,PR0037,3,119.01,70.02,48.99,Oui
V0000114,20210921,PH0035,PR0109,17,149.94,207.91,-57.97,Non
V0000115,20230101,PH0019,PR0140,14,287.98,395.36,-107.38,Oui
V0000116,20200210,PH0024,PR0129,20,728.2,328.8,399.4,Non
V0000117,20230915,PH0017,PR0097,17,552.84,487.73,65.11,Non
V0000118,20200319,PH0054,PR0021,11,218.35,107.8,110.55,Non
V0000119,20220508,PH0067,PR0043,6,120.12,149.22,-29.1,Non
V0000120,20230130,PH0057,PR0137,1,6.41,16.52,-10.11,Oui
V0000121,20200609,PH0005,PR0075,1,27.48,11.25,16.23,Oui
V0000122,20211005,PH0011,PR0062,12,562.8,272.64,290.16,Oui
V0000123,20210711,PH0029,PR0034,8,282.96,184.88,98.08,Non
V0000124,20230408,PH0064,PR0120,8,130.48,28.24,102.24,Oui
V0000125,20221107,PH0015,PR0045,7,328.44,110.32,218.12,Non
V0000126,20220525,PH0003,PR0040,4,137.28,53.04,84.24,Non
V0000127,20231220,PH0063,PR0075,18,494.64,202.5,292.14,Oui
V0000128,20230328,PH0010,PR0059,10,359.2,65.0,294.2,Oui
V0000129,20210225,PH0054,PR0129,20,728.2,328.8,399.4,Oui
V0000130,20200409,PH0012,PR0082,12,337.2,311.16,26.04,Non
V0000131,20220403,PH0041,PR0011,10,467.1,216.6,250.5,Oui
V0000132,20230414,PH0022,PR0070,19,414.39,473.48,-59.09,Non
V0000133,20211106,PH0063,PR0011,8,373.68,173.28,200.4,Oui
V0000134,20221011,PH0045,PR0093,9,178.38,187.02,-8.64,Non
V0000135,20230823,PH0048,PR0009,7,281.33,156.66,124.67,Non
V0000136,20211221,PH0004,PR0043,11,220.22,273.57,-53.35,Non
V0000137,20200904,PH0012,PR0071,3,101.4,14.49,86.91,Non
V0000138,20230215,PH0003,PR0067,18,681.48,123.84,557.64,Oui
V0000139,20200619,PH0063,PR0076,8,135.44,111.68,23.76,Oui
V0000140,20230512,PH0060,PR0003,1,31.67,27.04,4.63,Oui
V0000141,20221022,PH0011,PR0115,17,691.56,296.99,394.57,Non
V0000142,20200805,PH0019,PR0052,20,935.4,294.4,641.0,Oui
V0000143,20231029,PH0013,PR0125,18,768.24,264.6,503.64,Non
V0000144,20201206,PH0003,PR0096,15,664.2,247.65,416.55,Oui
V0000145,20230330,PH0007,PR0073,10,355.1,110.0,245.1,Non
V0000146,20210330,PH0024,PR0033,4,135.56,106.04,29.52,Oui
V0000147,20220715,PH0051,PR0093,2,39.64,41.56,-1.92,Non
V0000148,20210301,PH0064,PR0038,15,373.5,406.5,-33.0,Oui
V0000149,20230224,PH0052,PR0096,20,885.6,330.2,555.4,Oui
V0000150,20220330,PH0057,PR0119,18,503.82,119.34,384.48,Non
V0000151,20220821,PH0065,PR0108,19,299.63,128.63,171.0,Oui
V0000152,20231109,PH0066,PR0140,16,329.12,451.84,-122.72,Oui
V0000153,20210122,PH0004,PR0069,10,454.3,100.7,353.6,Non
V0000154,20220423,PH0014,PR0072,8,309.68,89.76,219.92,Oui
V0000155,20210704,PH0007,PR0090,14,473.06,319.48,153.58,Non
V0000156,20220606,PH0067,PR0138,3,81.51,89.94,-8.43,Non
V0000157,20220910,PH0023,PR0004,20,788.2,107.8,680.4,Non
V0000158,20210429,PH0002,PR0014,4,174.28,52.0,122.28,Oui
